model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-0.5B,0,0.0,False,1.0,False,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,1.0,False,0.0,3.1918787558873496,30,1.22,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,2.0,False,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,4.0,False,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,False,1.0,True,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,1.0,True,0.0,3.1918787558873496,30,1.24,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,2.0,True,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.0,True,4.0,True,0.0,3.1918787558873496,30,1.2,,,,,,,,
Qwen/Qwen2.5-0.5B,0,0.5,False,1.0,False,4.263997101783753,3.1918787558873496,30,24.18,743.6311273193364,11.397343635559082,61.30118179321289,1.6543043851852417,2.6276750564575195,0.0,15.299991130828857,92.50320434570321
Qwen/Qwen2.5-0.5B,0,0.5,True,1.0,False,2.4591109196345013,3.1918787558873496,30,23.64,657.1184057617188,14.741327285766602,60.1176643371582,1.762839436531067,2.675713539123535,0.0,15.264910221099854,100.74973258972179
Qwen/Qwen2.5-0.5B,0,0.5,True,2.0,False,2.4487452427546184,3.1918787558873496,30,23.59,659.749545288086,14.71762228012085,60.05477523803711,1.7626749277114868,2.675285577774048,0.0,15.247702598571777,100.59151153564461
Qwen/Qwen2.5-0.5B,0,0.5,True,4.0,False,2.4602266709009806,3.1918787558873496,30,23.43,662.5946112060551,14.614990234375,59.966949462890625,1.7607879638671875,2.674118995666504,0.0,15.200599670410156,100.51787681579593
Qwen/Qwen2.5-0.5B,0,0.5,False,1.0,True,2.5764453013738,3.1918787558873496,30,23.31,689.6855731201175,12.973689079284668,59.51527786254883,1.7228730916976929,2.672096014022827,0.0,15.017691135406494,102.32693519592287
Qwen/Qwen2.5-0.5B,0,0.5,True,1.0,True,2.4643150409062704,3.1918787558873496,30,23.42,662.3818365478521,14.800004959106445,60.17936325073242,1.7625010013580322,2.6739139556884766,0.0,15.267735958099365,100.83900604248049
Qwen/Qwen2.5-0.5B,0,0.5,True,2.0,True,2.4584542512893677,3.1918787558873496,30,23.36,660.8863134765627,14.780532836914062,60.158599853515625,1.762412190437317,2.67364501953125,0.0,15.263079643249512,100.7749683380127
