model,method,seed,turn,nll_target_new,residual_norm_mu,mem_rss_mb
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,1,16.869418248534203,569.7442626953125,1107.29296875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,50,16.869418248534203,569.7442626953125,1111.92578125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,200,16.869418248534203,569.7442626953125,1112.171875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,500,16.869418248534203,569.7442626953125,1112.96484375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,1000,16.869418248534203,569.7442626953125,1113.12890625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,0,2000,16.869418248534203,569.7442626953125,1113.48828125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,1,16.869418248534203,569.7442626953125,1265.68359375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,50,16.869418248534203,569.7442626953125,1270.41015625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,200,16.869418248534203,569.7442626953125,1270.5625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,500,16.869418248534203,569.7442626953125,1271.39453125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,1000,16.869418248534203,569.7442626953125,1271.58984375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,1,2000,16.869418248534203,569.7442626953125,1271.88671875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,1,16.869418248534203,569.7442626953125,1181.43359375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,50,16.869418248534203,569.7442626953125,1186.15234375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,200,16.869418248534203,569.7442626953125,1186.3828125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,500,16.869418248534203,569.7442626953125,1187.0625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,1000,16.869418248534203,569.7442626953125,1187.2734375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,lopi_default,2,2000,16.869418248534203,569.7442626953125,1187.6015625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,1,16.882732421159744,610.8175659179688,1232.41015625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,50,16.882732421159744,610.8175659179688,1234.7421875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,200,16.882732421159744,610.8175659179688,1235.3046875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,500,16.882732421159744,610.8175659179688,1235.53125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,1000,16.882732421159744,610.8175659179688,1235.9609375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,0,2000,16.882732421159744,610.8175659179688,1236.36328125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,1,16.882732421159744,610.8175659179688,1079.421875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,50,16.882732421159744,610.8175659179688,1082.1328125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,200,16.882732421159744,610.8175659179688,1082.6953125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,500,16.882732421159744,610.8175659179688,1082.85546875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,1000,16.882732421159744,610.8175659179688,1083.2265625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,1,2000,16.882732421159744,610.8175659179688,1083.65234375
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,1,16.882732421159744,610.8175659179688,1081.16796875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,50,16.882732421159744,610.8175659179688,1083.95703125
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,200,16.882732421159744,610.8175659179688,1084.44140625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,500,16.882732421159744,610.8175659179688,1084.63671875
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,1000,16.882732421159744,610.8175659179688,1085.0390625
/home/gabira/Desktop/workspace/models/whitelist/gemma-4-31B-it,caa,2,2000,16.882732421159744,610.8175659179688,1085.421875
