model,method,seed,turn,nll_target_new,residual_norm_mu,mem_rss_mb
Qwen/Qwen3-4B-Instruct-2507,caa,0,1,7.347200385382166,4679.15087890625,2020.25390625
Qwen/Qwen3-4B-Instruct-2507,caa,0,50,7.347200385382166,4679.15087890625,2021.76953125
Qwen/Qwen3-4B-Instruct-2507,caa,0,200,7.347200385382166,4679.15087890625,2021.8359375
Qwen/Qwen3-4B-Instruct-2507,caa,0,500,7.347200385382166,4679.15087890625,2021.99609375
Qwen/Qwen3-4B-Instruct-2507,caa,1,1,7.347200385382166,4679.15087890625,1977.39453125
Qwen/Qwen3-4B-Instruct-2507,caa,1,50,7.347200385382166,4679.15087890625,1978.921875
Qwen/Qwen3-4B-Instruct-2507,caa,1,200,7.347200385382166,4679.15087890625,1979.046875
Qwen/Qwen3-4B-Instruct-2507,caa,1,500,7.347200385382166,4679.15087890625,1979.21484375
Qwen/Qwen3-4B-Instruct-2507,caa,2,1,7.347200385382166,4679.15087890625,1977.72265625
Qwen/Qwen3-4B-Instruct-2507,caa,2,50,7.347200385382166,4679.15087890625,1978.93359375
Qwen/Qwen3-4B-Instruct-2507,caa,2,200,7.347200385382166,4679.15087890625,1979.05859375
Qwen/Qwen3-4B-Instruct-2507,caa,2,500,7.347200385382166,4679.15087890625,1979.2265625
