model,arm,alpha,mean_drift,std_drift,n
Qwen/Qwen2.5-0.5B,A0,0.5,2.4464428265889486,1.0132063008798198,90
Qwen/Qwen2.5-0.5B,A0,1.0,2.1539882977803546,1.1926305151402887,90
Qwen/Qwen2.5-0.5B,A0,2.0,2.0112391074498492,1.1893019725829692,90
Qwen/Qwen2.5-0.5B,A0,4.0,1.8627767324447633,1.3674875601630743,90
Qwen/Qwen2.5-0.5B,A0,8.0,1.4319076855977377,1.3121556575364248,90
Qwen/Qwen2.5-0.5B,A0,16.0,1.7570972442626953,1.487056849428993,90
Qwen/Qwen2.5-0.5B,A0,32.0,2.1011506795883177,1.4689493339638264,90
Qwen/Qwen2.5-0.5B,A1,0.5,2.4951603492101033,1.0262163946289196,90
Qwen/Qwen2.5-0.5B,A1,1.0,2.287024474143982,1.0558957970760143,90
Qwen/Qwen2.5-0.5B,A1,2.0,2.248310422897339,1.081208248993561,90
Qwen/Qwen2.5-0.5B,A1,4.0,1.914281431833903,1.3521045893291446,90
Qwen/Qwen2.5-0.5B,A1,8.0,1.3001871188481648,1.436960694667087,90
Qwen/Qwen2.5-0.5B,A1,16.0,1.863851539293925,1.2712523330867744,90
Qwen/Qwen2.5-0.5B,A1,32.0,2.082193660736084,1.2695305792423728,90
Qwen/Qwen2.5-0.5B,A2,0.5,2.4838323831558227,1.0401161327169954,90
Qwen/Qwen2.5-0.5B,A2,1.0,2.518117650349935,1.063006690372835,90
Qwen/Qwen2.5-0.5B,A2,2.0,2.5170832792917888,1.0677481845727328,90
Qwen/Qwen2.5-0.5B,A2,4.0,2.515649398167928,1.051704266210736,90
Qwen/Qwen2.5-0.5B,A2,8.0,2.388376792271932,1.0686425587197628,90
Qwen/Qwen2.5-0.5B,A2,16.0,2.1196934858957928,1.113341795778395,90
Qwen/Qwen2.5-0.5B,A2,32.0,2.211500302950541,1.3210315554399126,90
Qwen/Qwen2.5-0.5B,A3,0.5,2.4838323831558227,1.0401161327169954,90
Qwen/Qwen2.5-0.5B,A3,1.0,2.518117650349935,1.063006690372835,90
Qwen/Qwen2.5-0.5B,A3,2.0,2.5170832792917888,1.0677481845727328,90
Qwen/Qwen2.5-0.5B,A3,4.0,2.515649398167928,1.051704266210736,90
Qwen/Qwen2.5-0.5B,A3,8.0,2.388376792271932,1.0686425587197628,90
Qwen/Qwen2.5-0.5B,A3,16.0,2.1196934858957928,1.113341795778395,90
Qwen/Qwen2.5-0.5B,A3,32.0,2.211500302950541,1.3210315554399126,90
Qwen/Qwen2.5-0.5B,A4,0.5,2.4683392604192096,1.0235646318839215,90
Qwen/Qwen2.5-0.5B,A4,1.0,2.4685850779215497,1.0315714785744765,90
Qwen/Qwen2.5-0.5B,A4,2.0,2.448556351661682,1.026612679120455,90
Qwen/Qwen2.5-0.5B,A4,4.0,2.4215641021728516,1.1728868987978016,90
Qwen/Qwen2.5-0.5B,A4,8.0,2.112346331278483,1.1961693450778674,90
Qwen/Qwen2.5-0.5B,A4,16.0,1.9527656237284343,1.2088678979421177,90
Qwen/Qwen2.5-0.5B,A4,32.0,1.8856358369191488,1.2319275015463422,90
Qwen/Qwen2.5-1.5B,A0,0.5,0.817462968826294,1.0266914157814688,90
Qwen/Qwen2.5-1.5B,A0,1.0,0.7674515088399251,0.9105875678529634,90
Qwen/Qwen2.5-1.5B,A0,2.0,0.9099467118581136,1.0089873427697562,90
Qwen/Qwen2.5-1.5B,A0,4.0,0.6653239885965984,0.6441444302972444,90
Qwen/Qwen2.5-1.5B,A0,8.0,0.6542760133743286,0.6992121753748648,90
Qwen/Qwen2.5-1.5B,A0,16.0,0.851900331179301,1.0464763801218313,90
Qwen/Qwen2.5-1.5B,A0,32.0,1.5981220324834189,2.161527203812538,90
Qwen/Qwen2.5-1.5B,A1,0.5,0.7372354507446289,0.8768838761066239,90
Qwen/Qwen2.5-1.5B,A1,1.0,0.7835007588068644,1.0411906140480052,90
Qwen/Qwen2.5-1.5B,A1,2.0,0.8080000797907512,1.007427393857201,90
Qwen/Qwen2.5-1.5B,A1,4.0,0.9270850658416748,1.0569199046618925,90
Qwen/Qwen2.5-1.5B,A1,8.0,0.7705108324686686,0.7172050250722671,90
Qwen/Qwen2.5-1.5B,A1,16.0,0.8958387692769368,0.7872318144101397,90
Qwen/Qwen2.5-1.5B,A1,32.0,1.7426836490631104,1.7492033011527124,90
Qwen/Qwen2.5-1.5B,A2,0.5,0.9150490283966064,1.1119342813903603,90
Qwen/Qwen2.5-1.5B,A2,1.0,0.9455054442087809,1.137180376823669,90
Qwen/Qwen2.5-1.5B,A2,2.0,0.9138469854990642,1.1326979502318328,90
Qwen/Qwen2.5-1.5B,A2,4.0,0.7906097968419393,0.9858897592893099,90
Qwen/Qwen2.5-1.5B,A2,8.0,0.8834096113840739,1.0493766515737206,90
Qwen/Qwen2.5-1.5B,A2,16.0,0.9182422478993734,1.07449413189791,90
